ttf,family,reason
AlmendraSC-Regular.ttf,Almendra SC,umlaut / esszett failed
Bentham-Regular.ttf,Bentham,umlaut / esszett failed
BrunoAceSC-Regular.ttf,Bruno Ace SC,umlaut / esszett failed
BungeeShade-Regular.ttf,Bungee Shade,all caps
CaesarDressing-Regular.ttf,Caesar Dressing,umlaut / esszett failed
CarroisGothicSC-Regular.ttf,Carrois Gothic SC,umlaut / esszett failed
Cinzel[wght].ttf,Cinzel,umlaut / esszett failed
CinzelDecorative-Regular.ttf,Cinzel Decorative,umlaut / esszett failed
Codystar-Regular.ttf,Codystar,umlaut / esszett failed
Creepster-Regular.ttf,Creepster,umlaut / esszett failed
Ewert-Regular.ttf,Ewert,all caps
FasterOne-Regular.ttf,Faster One,all caps
Frijole-Regular.ttf,Frijole,umlaut / esszett failed
Hanalei-Regular.ttf,Hanalei,umlaut / esszett failed
HanaleiFill-Regular.ttf,Hanalei Fill,umlaut / esszett failed
"Honk[MORF,SHLN].ttf",Honk,other
IMFePIsc28P.ttf,IM Fell DW Pica SC,umlaut / esszett failed
IMFeDPsc28P.ttf,IM Fell Double Pica SC,umlaut / esszett failed
IMFeENsc28P.ttf,IM Fell English SC,umlaut / esszett failed
IMFeFCsc28P.ttf,IM Fell French Canon SC,umlaut / esszett failed
IMFeGPsc28P.ttf,IM Fell Great Primer SC,umlaut / esszett failed
Jacquard12Charted-Regular.ttf,Jacquard 12 Charted,background
Jacquard24Charted-Regular.ttf,Jacquard 24 Charted,background
JacquardaBastarda9Charted-Regular.ttf,Jacquarda Bastarda 9 Charted,background
JacquesFrancoisShadow-Regular.ttf,Jacques Francois Shadow,3d / outline
Jersey10Charted-Regular.ttf,Jersey 10 Charted,background
Jersey15Charted-Regular.ttf,Jersey 15 Charted,background
Jersey20Charted-Regular.ttf,Jersey 20 Charted,background
Jersey25Charted-Regular.ttf,Jersey 25 Charted,background
JuliusSansOne-Regular.ttf,Julius Sans One,umlaut / esszett failed
LondrinaOutline-Regular.ttf,Londrina Outline,outline
LondrinaShadow-Regular.ttf,Londrina Shadow,outline
LondrinaSketch-Regular.ttf,Londrina Sketch,outline
LuckiestGuy-Regular.ttf,Luckiest Guy,umlaut / esszett failed
MarcellusSC-Regular.ttf,Marcellus SC,umlaut / esszett failed
MateSC-Regular.ttf,Mate SC,umlaut / esszett failed
MetalMania-Regular.ttf,Metal Mania,umlaut / esszett failed
Micro5Charted-Regular.ttf,Micro 5 Charted,background
MoiraiOne-Regular.ttf,Moirai One,outline
Monofett-Regular.ttf,Monofett,inverted
MooLahLah-Regular.ttf,Moo Lah Lah,outline
Neonderthaw-Regular.ttf,Neonderthaw,outline
NotoSansCoptic-Regular.ttf,Noto Sans Coptic,umlaut / esszett failed
NotoSansTifinagh-Regular.ttf,Noto Sans Tifinagh,umlaut / esszett failed
PatrickHandSC-Regular,Patrick Hand SC,umlaut / esszett failed
PermanentMarker-Regular.ttf,Permanent Marker,umlaut / esszett failed
RampartOne-Regular.ttf,Rampart One,outline
RockSalt-Regular.ttf,Rock Salt,umlaut / esszett failed
RubikBurned-Regular.ttf,Rubik Burned,outline
RubikDoodleShadow-Regular.ttf,Rubik Doodle Shadow,outline
RubikDoodleTriangles-Regular.ttf,Rubik Doodle Triangles,outline
RubikGlitchPop-Regular.ttf,Rubik Glitch Pop,outline
RubikIso-Regular.ttf,Rubik Iso,outline
RubikMonoOne-Regular.ttf,Rubik Mono One,umlaut / esszett failed
RubikPuddles-Regular.ttf,Rubik Puddles,outline
RubikScribble-Regular.ttf,Rubik Scribble,outline
RubikStorm-Regular.ttf,Rubik Storm,outline
RubikVinyl-Regular.ttf,Rubik Vinyl,outline
Shojumaru-Regular.ttf,Shojumaru,umlaut / esszett failed
SpectralSC-Regular.ttf,Spectral SC,umlaut / esszett failed
"TiltPrism[XROT,YROT].ttf",Tilt Prism,other
"Tourney[wdth,wght].ttf",Tourney,other
TradeWinds-Regular.ttf,Trade Winds,umlaut / esszett failed
TrainOne-Regular.ttf,Train One,other
Uchen-Regular.ttf,Uchen,umlaut / esszett failed
VastShadow-Regular.ttf,Vast Shadow,other
WalterTurncoat-Regular.ttf,Walter Turncoat,umlaut / esszett failed
ZenTokyoZoo-Regular.ttf,Zen Tokyo Zoo,other
ZillaSlabHighlight-Regular.ttf,Zilla Slab Highlight,other
Aboreto-Regular.ttf,Aboreto,all caps
Bangers-Regular.ttf,Bangers,all caps
AmaticSC-Regular.ttf,Amatic SC,all caps
AlegreyaSansSC-Regular.ttf,Alegreya Sans SC,all caps
AlegreyaSC-Regular.ttf,Alegreya SC,all caps
AmaticSC-Regular.ttf,Amatic SC,all caps
Bahiana-Regular.ttf,Bahiana,all caps
Barrio-Regular.ttf,Barrio,all caps
Neue BebasNeue-Regular.ttf,Bebas,all caps
BowlbyOneSC-Regular.ttf,Bowlby One SC,all caps
Bungee-Regular.ttf,Bungee,all caps
BungeeHairline-Regular.ttf,Bungee Hairline,all caps
BungeeOutline-Regular.ttf,Bungee Outline,all caps
BungeeInline-Regular.ttf,Bungee Inline,all caps
BungeeSpice-Regular.ttf,Bungee Spice,all caps
Butcherman-Regular.ttf,Butcherman,all caps
CastoroTitling-Regular.ttf,Castoro Titling,all caps
CormorantSC-Regular.ttf,Cormorant SC,all caps
CormorantUnicase-Regular.ttf,Cormorant Unicase,mixed case
Crushed-Regular.ttf,Crushed,mixed case
Danfo[ELSH].ttf,Danfo,all caps
DeliusUnicase-Regular.ttf,Delius Unicase,mixed case
DiplomataSC-Regular.ttf,Diplomata SC,all caps
Eater-Regular.ttf,Eater,all caps
Girassol-Regular.ttf,Girassol,all caps
Graduate-Regular.ttf,Graduate,all caps
HoltwoodOneSC-Regular.ttf,Holtwood One SC,all caps
Kablammo[MORF].ttf,Kablammo,all caps
Lacquer-Regular.ttf,Lacquer,all caps
MajorMonoDisplay-Regular.ttf,Major Mono Display,all caps
Megrim.ttf,Megrim,all caps
Monoton-Regular.ttf,Monoton,mixed case
MontserratSubrayada-Regular.ttf,Montserrat Subrayada,all caps
Nosifer-Regular.ttf,Nosifer,all caps
Notable-Regular.ttf,Notable,all caps
OverlockSC-Regular.ttf,Overlock SC,all caps
PatrickHandSC-Regular.ttf,Patrick Hand SC,all caps
Phudu[wght].ttf,Phudu,all caps
PlayfairDisplaySC-Regular.ttf,Playfair Display SC,all caps
RuslanDisplay-Regular.ttf,Ruslan Display,all caps
SedgwickAveDisplay-Regular.ttf,Sedgwick Ave Display,all caps
SigmarOne-Regular.ttf,Sigmar One,all caps
Silkscreen-Regular.ttf,Silkscreen,all caps
SixCaps.ttf,Six Caps,all caps
Staatliches-Regular.ttf,Staatliches,all caps
Syncopate-Regular.ttf,Syncopate,mixed case
UnicaOne-Regular.ttf,Unica One,mixed case
VinaSans-Regular.ttf,Vina Sans,umlaut / esszett failed
VollkornSC-Regular.ttf,Vollkorn SC,all caps
YsabeauSC[wght].ttf,Ysabeau SC,all caps
YujiHentaiganaAkari-Regular.ttf,Yuji Hentaigana Akari,mixed case
YujiHentaiganaAkebono-Regular.ttf,Yuji Hentaigana Akebono,mixed case
Akronim-Regular.ttf,Akronim,outline
CabinSketch-Regular.ttf,Cabin Sketch,outline
FrederickatheGreat-Regular.ttf,Fredericka the Great,outline
Miltonian-Regular.ttf,Miltonian,outline
Rubik80sFade-Regular.ttf,Rubik 80s,outline
RubikBrokenFax-Regular.ttf,Rubik Broken Fax,outline
RubikDirt-Regular.ttf,Rubik Dirt,outline
RubikDistressed-Regular.ttf,Rubik Distressed,outline
RubikGemstones-Regular.ttf,Rubik Gemstones,outline
RubikLines-Regular.ttf,Rubik Lines,outline
RubikMaps-Regular.ttf,Rubik Maps,outline
RubikMarkerHatch-Regular.ttf,Rubik Marker Hatch,outline
RubikMaze-Regular.ttf,Rubik Maze,outline
RubikMicrobe-Regular.ttf,Rubik Microbe,outline
RubikMoonrocks-Regular.ttf,Rubik Moonrocks,outline
RubikPixels-Regular.ttf,Rubik Pixels,outline
